#{"t_start": 1677702823.6680574, "env_id": "Swimmer-v3"}
r,l,t
13.80256,1000,14047.56423
29.334855,1000,14059.944677
21.815718,1000,14072.693893
29.4112,1000,14086.185599
38.437253,1000,14099.392839
34.877944,1000,14112.453855
16.318492,1000,14125.918209
15.193696,1000,14139.400218
9.633974,1000,14152.608001
17.01989,1000,14165.44058
50.172308,1000,14178.241613
21.001799,1000,14191.684731
14.839997,1000,14204.70303
20.881299,1000,14218.14139
15.347209,1000,14230.898629
25.054529,1000,14244.292372
27.320865,1000,14259.578375
21.10583,1000,14274.299979
43.706674,1000,14288.223338
36.576017,1000,14302.196164
18.608275,1000,14315.239456
40.099382,1000,14328.208109
